"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","SHG","SHA","SHPTS","GWG","ENG","PIM","Active","PPP","PPP_Percentage","RNK"
"Nolan Collins","NO",77,2004-04-28,2004,6.04,205,"RD","Sudbury Wolves",38,6,11,17,0.45,9,0,0,0,1,1,1,0,24,1,0,0,13.5
"Finn Harding","NO",7,2005-03-02,2005,6.01,198,"D","Mississauga Steelheads",40,5,12,17,0.43,25,0,1,1,0,1,0,1,34,1,1,5.9,19
"Shamar Moses","YES",78,2007-05-06,2007,6.01,208,"RW","Barrie Colts",35,3,14,17,0.49,-11,2,6,0,0,0,1,0,21,1,8,47.1,-5
"Christopher Brown","NO",67,2006-01-27,2006,5.11,166,"C","Soo Greyhounds",40,3,14,17,0.43,1,0,1,0,1,1,0,0,6,1,1,5.9,22
"Marko Stojkov","NO",95,2004-08-11,2004,6,170,"D","Flint Firebirds",40,2,15,17,0.43,-24,1,5,0,0,0,1,0,16,1,6,35.3,-13.5
"Jack Van Volsen","NO",14,2006-01-12,2006,6.02,188,"C","Mississauga Steelheads",35,10,6,16,0.46,-9,3,3,0,0,0,1,0,21,1,6,37.5,-1
"Ethan Hay","NO",68,2005-01-15,2005,6.01,195,"C","Saginaw Spirit",38,9,7,16,0.42,-10,2,1,1,1,2,3,0,32,1,3,18.8,-13.5
"Leo Serlin","YES",20,2006-01-20,2006,6,186,"RW","Guelph Storm",40,8,8,16,0.4,1,0,5,2,0,2,1,0,21,1,5,31.2,8
"Bruce McDonald","NO",92,2004-12-18,2004,6,175,"C","Erie Otters",36,7,9,16,0.44,-2,1,0,0,1,1,2,0,17,1,1,6.2,8.5
"Ihnat Pazii","YES",13,2006-12-04,2006,5.08,155,"LW","North Bay Battalion",35,6,10,16,0.46,1,1,1,0,0,0,3,0,8,1,2,12.5,20
"Mitch Young","NO",5,2005-04-29,2005,6.01,183,"D","Sarnia Sting",41,6,10,16,0.39,-13,1,0,0,0,0,1,0,45,1,1,6.2,-31
"Alex Assadourian","NO",8,2005-07-24,2005,5.09,168,"C","Niagara IceDogs",23,5,11,16,0.7,-6,1,6,2,1,3,0,1,22,1,7,43.8,-1.5
"Owen Outwater","NO",93,2005-01-04,2005,6.02,168,"LW","Windsor Spitfires",36,4,12,16,0.44,-2,1,3,0,0,0,2,0,16,1,4,25,8
"Cameron Mercer","NO",14,2005-05-27,2005,6,180,"C","Kitchener Rangers",41,4,12,16,0.39,6,0,1,0,0,0,0,0,18,1,1,6.2,14
"Luke McNamara","NO",29,2005-03-02,2005,6.02,180,"C","Kingston Frontenacs",32,3,13,16,0.5,-10,1,0,0,0,0,0,0,25,1,1,6.2,-9.5
"Cameron Reid","YES",18,2007-04-08,2007,5.11,160,"LD","Kitchener Rangers",36,1,15,16,0.44,15,0,2,0,0,0,0,0,17,1,2,12.5,22.5
"Ben Cormier","NO",8,2006-07-20,2006,6,177,"C","Owen Sound Attack",40,10,5,15,0.38,-12,0,2,0,0,0,2,1,0,1,2,13.3,15.5
"Mitchell Martin","NO",59,2003-01-06,2003,6.04,206,"LW","Kitchener Rangers",16,9,6,15,0.94,7,1,1,1,0,1,0,0,32,1,2,13.3,2
"Declan Waddick","NO",27,2005-01-24,2005,5.09,162,"C","Owen Sound Attack",39,8,7,15,0.38,-7,1,1,0,0,0,1,0,0,1,2,13.3,19.5
"Brice Cooke","NO",8,2004-03-23,2004,6.02,202,"LW","North Bay Battalion",35,7,8,15,0.43,-10,0,1,0,0,0,1,0,4,1,1,6.7,12
"Chase Coughlan","NO",9,2005-06-17,2005,5.11,192,"RW","Sudbury Wolves",39,7,8,15,0.38,11,0,0,0,0,0,2,0,50,1,0,0,-13
"Landon Sim","NO",90,2004-07-17,2004,5.11,174,"C","London Knights",15,6,9,15,1,14,0,1,1,1,2,2,0,22,1,1,6.7,17.5
"Roman Schmidt","NO",76,2003-02-27,2003,6.05,216,"RD","Kingston Frontenacs",25,5,10,15,0.6,2,3,6,0,0,0,0,0,42,1,9,60,-15
"Connor Clattenburg","NO",23,2005-05-02,2005,6.02,197,"LW","Flint Firebirds",33,5,10,15,0.45,3,0,0,0,0,0,2,0,57,1,0,0,-29
"William Nicholl","YES",73,2006-05-24,2006,6,170,"C","London Knights",38,5,10,15,0.39,1,0,0,0,1,1,0,0,32,1,0,0,-6
"Isaiah George","NO",4,2004-02-15,2004,6,199,"D","London Knights",41,4,11,15,0.37,12,0,0,0,2,2,1,0,37,1,0,0,-0.5
"Ivan Galiyanov","YES",92,2007-10-16,2007,5.09,154,"LW","Niagara IceDogs",31,3,12,15,0.48,-3,0,1,1,1,2,0,0,4,1,1,6.7,17
"James Petrovski","NO",28,2005-08-12,2005,6.04,190,"D","Owen Sound Attack",35,3,12,15,0.43,3,1,5,0,0,0,0,0,20,1,6,40,7
"Lucas Moore","NO",4,2005-06-07,2005,5.1,185,"D","Brantford Bulldogs",37,3,12,15,0.41,2,2,4,0,0,0,0,0,28,1,6,40,-2
"Owain Johnston","NO",7,2003-10-19,2003,6.01,193,"D","Erie Otters",38,2,13,15,0.39,-4,1,2,0,0,0,0,0,39,1,3,20,-19.5
"Ryan Brown","YES",23,2007-10-27,2007,5.11,159,"LW","Sarnia Sting",22,9,5,14,0.64,3,0,3,0,0,0,0,1,2,1,3,21.4,26.5
"Gabriel Frasca","NO",18,2006-02-18,2006,6,170,"C","Kingston Frontenacs",16,8,6,14,0.88,-8,4,4,0,0,0,4,0,8,1,8,57.1,9
"Braden Haché","NO",6,2003-05-21,2003,6.03,210,"D","Saginaw Spirit",36,8,6,14,0.39,13,0,0,0,0,0,1,0,44,1,0,0,-6
"Gage Heyes","NO",9,2004-04-21,2004,5.11,158,"RW","Kingston Frontenacs",40,8,6,14,0.35,-6,0,0,0,1,1,0,1,53,1,0,0,-34
"Alex Kostov","NO",47,2006-06-03,2006,6.03,192,"RW","Flint Firebirds",39,7,7,14,0.36,4,0,0,4,0,4,1,0,30,1,0,0,-1.5
"Liam Arnsby","NO",11,2003-11-20,2003,5.11,180,"C","North Bay Battalion",32,6,8,14,0.44,-5,0,0,1,0,1,0,1,55,1,0,0,-36
"Paul Christopoulos","NO",4,2003-03-26,2003,5.1,203,"D","North Bay Battalion",40,3,11,14,0.35,6,0,0,0,0,0,1,0,16,1,0,0,12.5
"Jacob Holmes","NO",47,2003-07-04,2003,6.02,211,"D","Kingston Frontenacs",32,7,6,13,0.41,-9,5,3,0,0,0,0,0,16,1,8,61.5,-2
"Kyle Morey","NO",17,2005-06-27,2005,5.11,160,"C","Barrie Colts",36,6,7,13,0.36,14,0,0,0,0,0,3,0,6,1,0,0,30.5
"Michael Podolioukh","NO",28,2004-11-28,2004,6.01,198,"C","Niagara IceDogs",24,5,8,13,0.54,-7,0,0,2,2,4,1,0,20,1,0,0,-5
"Lucas Karmiris","NO",27,2006-09-27,2006,5.11,181,"C","Mississauga Steelheads",34,5,8,13,0.38,6,0,1,0,0,0,1,0,22,1,1,7.7,6
"Cooper Way","NO",9,2003-06-11,2003,6.03,199,"C","Sarnia Sting",41,5,8,13,0.32,-8,1,3,0,0,0,1,0,30,1,4,30.8,-16
"Justin Bottineau","NO",77,2006-01-11,2006,6,168,"LW","Kitchener Rangers",35,4,9,13,0.37,7,0,1,0,0,0,1,0,18,1,1,7.7,10.5
"Gavin Grundner","NO",16,2004-05-12,2004,6,179,"LW","Guelph Storm",38,4,9,13,0.34,8,0,0,0,0,0,0,1,17,1,0,0,12.5
"Carson Cameron","YES",15,2007-06-27,2007,6,171,"D","Peterborough Petes",31,2,11,13,0.42,-7,0,7,1,0,1,1,0,26,1,7,53.8,-12.5
"Jakub Chromiak","NO",7,2005-11-02,2005,5.11,183,"D","Kingston Frontenacs",31,2,11,13,0.42,-4,0,1,0,0,0,0,0,10,1,1,7.7,6.5
"Thomas Budnick","NO",22,2004-02-14,2004,6.01,210,"D","Guelph Storm",40,2,11,13,0.33,6,0,1,0,0,0,0,0,44,1,1,7.7,-17.5
"Matthew Jenken","NO",27,2005-10-12,2005,6.04,200,"D","Flint Firebirds",41,2,11,13,0.32,-15,1,0,0,0,0,0,0,25,1,1,7.7,-19.5
"Tomáš Hamara","NO",9,2004-03-09,2004,6,192,"LD","Brantford Bulldogs",34,1,12,13,0.38,27,0,3,0,0,0,1,0,18,1,3,23.1,29
"Parker Von Richter","NO",6,2006-05-17,2006,6.01,183,"D","Mississauga Steelheads",37,1,12,13,0.35,-5,0,2,0,0,0,0,0,29,1,2,15.4,-14
"Konnor Smith","NO",6,2004-11-06,2004,6.05,206,"D","Owen Sound Attack",34,9,3,12,0.35,-13,0,0,0,0,0,0,4,58,1,0,0,-48.5
"Jacob Frasca","NO",15,2003-03-19,2003,6.05,216,"C","Soo Greyhounds",19,7,5,12,0.63,2,1,0,0,0,0,1,1,20,1,1,8.3,3.5
"Djibril Toure","NO",67,2003-06-05,2003,6.07,203,"D","Windsor Spitfires",25,6,6,12,0.48,18,0,0,0,1,1,0,0,37,1,0,0,2
"Daylen Moses","NO",24,2005-06-13,2005,6.02,180,"C","Sarnia Sting",26,6,6,12,0.46,3,0,0,1,0,1,2,1,36,1,0,0,-12
"Jake Crawford","YES",16,2007-05-05,2007,6.03,163,"LW","Owen Sound Attack",38,6,6,12,0.32,-10,0,0,0,0,0,0,0,11,1,0,0,0
"Ethan Czata","YES",12,2007-05-29,2007,6,160,"C","Niagara IceDogs",33,5,7,12,0.36,2,1,1,0,0,0,0,0,15,1,2,16.7,7.5
"Jack Dever","NO",18,2005-09-05,2005,5.1,175,"RW","Ottawa 67's",26,4,8,12,0.46,-3,0,2,0,0,0,2,1,0,1,2,16.7,17
"Frankie Marrelli","NO",8,2006-02-16,2006,5.11,187,"D","Ottawa 67's",31,4,8,12,0.39,8,2,1,0,0,0,1,0,26,1,3,25,2
"PJ Forgione","NO",27,2004-11-12,2004,6.02,215,"D","Saginaw Spirit",34,4,8,12,0.35,11,0,0,0,0,0,1,0,46,1,0,0,-15
"Tristan Delisle","YES",40,2007-05-15,2007,5.11,166,"LW","Oshawa Generals",36,4,8,12,0.33,2,1,0,0,0,0,1,0,40,1,1,8.3,-18
"Noah Morneau","NO",11,2004-05-07,2004,6,160,"C","Windsor Spitfires",37,4,8,12,0.32,-20,0,0,0,0,0,0,0,6,1,0,0,-6
"Jackson Stewart","NO",22,2004-06-18,2004,6,198,"LW","Owen Sound Attack",37,4,8,12,0.32,0,0,0,0,0,0,1,0,59,1,0,0,-39
"Kaleb Smith","NO",20,2004-05-14,2004,6,188,"RW","Erie Otters",38,4,8,12,0.32,2,0,0,0,1,1,1,0,18,1,0,0,4
"Daniil Sobolev","NO",13,2003-03-03,2003,6.01,223,"D","Brantford Bulldogs",35,3,9,12,0.34,4,0,0,1,1,2,0,0,39,1,0,0,-15.5
"Matthew Schaefer","YES",48,2007-09-05,2007,6.01,162,"D","Erie Otters",32,2,10,12,0.38,-9,1,1,0,0,0,0,0,2,1,2,16.7,8
"Carson Woodall","YES",24,2006-05-25,2006,5.11,170,"D","Windsor Spitfires",29,1,11,12,0.41,-7,0,4,0,0,0,0,0,13,1,4,33.3,-1.5
"Alex Cajkovic","NO",26,2005-07-19,2005,5.1,179,"D","Sarnia Sting",36,0,12,12,0.33,6,0,4,0,0,0,0,0,13,1,4,33.3,11
"Marc Boudreau","NO",89,2003-04-29,2003,6.02,190,"LW","Mississauga Steelheads",36,7,4,11,0.31,3,0,0,0,0,0,0,0,68,1,0,0,-45
"Colton Smith","NO",61,2004-02-09,2004,6.03,215,"LW","Windsor Spitfires",39,6,5,11,0.28,-17,0,1,0,0,0,1,0,11,1,1,9.1,-8.5
"Nathan Poole","NO",28,2004-07-28,2004,6.01,200,"C","Kingston Frontenacs",35,5,6,11,0.31,-10,0,0,2,1,3,2,0,28,1,0,0,-19
"Adam Zidlicky","NO",91,2005-01-28,2005,6,170,"LW","Mississauga Steelheads",29,4,7,11,0.38,-3,1,0,0,0,0,1,0,41,1,1,9.1,-25.5
"Tyler Graham","NO",28,2006-08-10,2006,5.11,189,"LW","Oshawa Generals",38,3,8,11,0.29,-10,1,0,0,0,0,0,0,12,1,1,9.1,-4
"Matthew Mania","NO",93,2005-01-11,2005,6.01,190,"RD","Sudbury Wolves",19,2,9,11,0.58,6,1,3,0,0,0,0,0,11,1,4,36.4,12.5
"Bode Stewart","NO",71,2006-02-09,2006,6.01,169,"LW","Barrie Colts",26,2,9,11,0.42,3,0,0,1,0,1,0,0,15,1,0,0,5.5
"Blake Smith","NO",5,2004-10-05,2004,6.04,202,"D","Flint Firebirds",39,2,9,11,0.28,2,0,0,0,0,0,0,0,26,1,0,0,-6.5
"Roberto Mancini","NO",55,2003-07-08,2003,6.03,215,"D","Flint Firebirds",39,0,11,11,0.28,6,0,0,0,1,1,0,0,50,1,0,0,-27.5
"Jeremy Martin","YES",15,2007-02-06,2007,6,179,"LW","Flint Firebirds",37,9,1,10,0.27,-14,1,0,1,0,1,1,0,18,1,1,10,-12.5
"Julian Fantino","NO",27,2004-02-05,2004,6.01,200,"RW","Soo Greyhounds",33,6,4,10,0.3,1,0,0,0,0,0,1,0,19,1,0,0,0
"Brady Martin","YES",44,2007-03-16,2007,6,175,"C","Soo Greyhounds",25,5,5,10,0.4,1,0,1,0,0,0,0,0,21,1,1,10,-2.5
"Andrew Wycisk","NO",75,2005-07-01,2005,5.11,177,"D","Niagara IceDogs",29,5,5,10,0.34,-11,2,1,0,0,0,1,0,10,1,3,30,-3.5
"Brody Crane","NO",29,2004-05-29,2004,5.11,185,"LW","Guelph Storm",25,4,6,10,0.4,-15,0,1,0,0,0,0,0,4,1,1,10,-2
"Lawson Sherk","NO",39,2003-05-03,2003,6.03,198,"C","Brantford Bulldogs",36,4,6,10,0.28,-20,1,1,0,0,0,2,0,41,1,2,20,-44
"Urban Podrekar","NO",86,2005-02-14,2005,5.11,181,"D","Niagara IceDogs",33,2,8,10,0.3,-10,0,1,0,1,1,0,0,18,1,1,10,-12
"Grayson Tiller","NO",8,2005-02-20,2005,5.1,190,"D","Barrie Colts",37,2,8,10,0.27,-5,0,0,0,1,1,0,0,39,1,0,0,-28
"James Barr","YES",16,2007-06-01,2007,6.01,170,"D","Sarnia Sting",38,2,8,10,0.26,0,1,3,0,0,0,0,0,6,1,4,40,10
"Zach Wigle","NO",9,2004-01-12,2004,6,193,"C","Barrie Colts",36,7,2,9,0.25,-4,0,0,1,0,1,0,0,2,1,0,0,11
"Nic Sima","NO",92,2005-03-31,2005,6.03,200,"RW","Saginaw Spirit",31,6,3,9,0.29,-3,1,1,0,0,0,0,0,22,1,2,22.2,-8.5
"Kaeden Johnston","NO",37,2005-02-03,2005,6.01,175,"RW","London Knights",36,6,3,9,0.25,-5,1,0,1,0,1,2,0,6,1,1,11.1,5.5
"Beau Akey","NO",86,2005-02-11,2005,6,186,"D","Barrie Colts",14,4,5,9,0.64,4,1,2,0,0,0,0,1,12,1,3,33.3,7.5
"Roman Kukumberg","NO",21,2005-03-01,2005,6.01,185,"C","Sarnia Sting",19,4,5,9,0.47,-5,0,1,0,0,0,0,0,4,1,1,11.1,6.5
"Ryder McIntyre","NO",21,2004-07-15,2004,6.03,218,"RW","Peterborough Petes",26,3,6,9,0.35,-10,0,0,0,0,0,0,0,28,1,0,0,-23
"Lirim Amidovski","YES",29,2006-12-22,2006,6,170,"RW","North Bay Battalion",33,3,6,9,0.27,-9,0,0,0,0,0,0,0,11,1,0,0,-5
"Matthew Mayich","NO",22,2004-12-21,2004,6.02,197,"D","Ottawa 67's",37,2,7,9,0.24,4,0,0,0,0,0,0,0,50,1,0,0,-31.5
"Bronson Ride","NO",25,2005-01-14,2005,6.06,209,"D","North Bay Battalion",37,2,7,9,0.24,3,0,0,0,1,1,0,0,38,1,0,0,-20.5
"Aiden Young","YES",26,2007-04-18,2007,5.1,165,"LW","Peterborough Petes",29,1,8,9,0.31,5,0,0,0,0,0,1,0,4,1,0,0,15
"Alec Leonard","NO",27,2004-05-13,2004,5.11,174,"D","London Knights",39,0,9,9,0.23,11,0,0,0,2,2,0,0,53,1,0,0,-28.5
"Kai Schwindt","NO",20,2003-12-17,2003,6.03,195,"LW","Sarnia Sting",18,6,2,8,0.44,-3,2,0,0,0,0,0,0,8,1,2,25,4
"Quinton Pagé","NO",14,2005-08-03,2005,5.07,169,"LW","Peterborough Petes",33,6,2,8,0.24,-11,2,0,0,0,0,0,0,13,1,2,25,-9
"Cedricson Okitundu","NO",68,2004-01-03,2004,5.11,198,"D","Brantford Bulldogs",31,5,3,8,0.26,0,0,0,0,0,0,0,0,30,1,0,0,-15.5
"Evan Van Gorp","NO",14,2006-05-18,2006,5.1,155,"LW","London Knights",21,4,4,8,0.38,-2,0,0,1,0,1,0,0,8,1,0,0,4
"Luca Romano","YES",86,2007-06-25,2007,5.11,168,"C","Kitchener Rangers",32,3,5,8,0.25,1,1,1,0,0,0,0,1,0,1,2,25,14.5
"Aidan Castle","NO",90,2004-01-08,2004,6.01,180,"LW","Saginaw Spirit",23,2,6,8,0.35,-8,0,0,0,0,0,0,0,12,1,0,0,-7
"Tnias Mathurin","NO",5,2004-01-15,2004,6.03,195,"D","North Bay Battalion",25,2,6,8,0.32,9,0,0,0,0,0,0,0,12,1,0,0,10
"Chris Grisolia","NO",81,2005-04-30,2005,6,182,"C","Barrie Colts",31,2,6,8,0.26,-5,0,1,0,1,1,0,1,12,1,1,12.5,-4
"Noah Nelson","NO",11,2005-03-28,2005,6.01,186,"C","Brantford Bulldogs",35,2,6,8,0.23,-7,0,0,0,0,0,0,0,15,1,0,0,-9
"Sean Doherty","YES",55,2006-03-23,2006,6.01,182,"RW","Sarnia Sting",37,2,6,8,0.22,-6,0,0,0,0,0,0,0,2,1,0,0,5
"Owen Protz","YES",12,2006-02-07,2006,6.02,207,"D","Brantford Bulldogs",38,2,6,8,0.21,5,0,0,0,0,0,1,0,25,1,0,0,-7
"Noah Van Vliet","NO",2,2004-02-18,2004,6.03,220,"LD","Sudbury Wolves",39,2,6,8,0.21,-3,0,0,0,0,0,0,0,14,1,0,0,-4
"Matthew Virgilio","NO",25,2006-03-24,2006,5.11,186,"D","Soo Greyhounds",41,2,6,8,0.2,4,0,0,0,0,0,0,1,22,1,0,0,-5
"David Bedkowski","NO",7,2006-12-07,2006,6.04,208,"D","Oshawa Generals",39,1,7,8,0.21,6,0,0,0,0,0,0,0,32,1,0,0,-13.5
"Harry Nansi","YES",21,2007-09-10,2007,6.02,174,"C","Owen Sound Attack",32,0,8,8,0.25,-5,0,0,0,0,0,0,0,4,1,0,0,3
"Connor Federkow","NO",4,2003-07-26,2003,5.1,188,"D","Niagara IceDogs",36,0,8,8,0.22,-10,0,0,0,0,0,0,0,53,1,0,0,-51
"Gavin Ewles","NO",7,2005-03-01,2005,6.01,191,"D","Flint Firebirds",38,0,8,8,0.21,-10,0,2,0,1,1,0,0,18,1,2,25,-16
"Artem Frolov","YES",26,2007-05-05,2007,6,185,"D","Niagara IceDogs",38,0,8,8,0.21,-9,0,0,0,0,0,0,0,14,1,0,0,-11
"Caeden Carlisle","NO",7,2004-01-31,2004,6.02,197,"D","Soo Greyhounds",41,0,8,8,0.2,4,0,1,0,0,0,0,0,35,1,1,12.5,-19
"Dylan Edwards","NO",11,2005-07-20,2005,5.08,162,"RW","Erie Otters",8,7,0,7,0.88,3,0,0,0,0,0,0,0,2,1,0,0,15
"Andrew Vermeulen","NO",79,2006-02-07,2006,6.01,202,"LW","Niagara IceDogs",22,4,3,7,0.32,0,0,0,0,0,0,0,0,9,1,0,0,3.5
"Evan Klein","NO",57,2004-01-12,2004,6.02,206,"LW","Niagara IceDogs",33,4,3,7,0.21,-1,0,0,0,0,0,0,1,32,1,0,0,-20.5
"Lincoln Moore","NO",18,2005-09-21,2005,6.01,205,"RW","Saginaw Spirit",33,4,3,7,0.21,-10,0,0,0,0,0,0,0,9,1,0,0,-6.5
"Ryan Vannetten","NO",13,2004-03-30,2004,5.11,165,"D","Niagara IceDogs",27,3,4,7,0.26,1,0,0,0,0,0,0,0,4,1,0,0,9
"Caden Taylor","YES",19,2007-03-31,2007,6.02,185,"LW","Peterborough Petes",29,3,4,7,0.24,-3,1,0,0,0,0,0,0,16,1,1,14.3,-7
"Caden Kelly","NO",28,2006-01-15,2006,5.11,193,"RW","Ottawa 67's",30,3,4,7,0.23,-7,0,0,0,0,0,0,0,21,1,0,0,-16
"Carter Lowe","NO",85,2006-03-01,2006,6.03,209,"LW","Barrie Colts",32,3,4,7,0.22,-10,2,0,0,0,0,0,0,6,1,2,28.6,-4
"Nathan Omeri","YES",27,2006-06-15,2006,5.11,175,"D","Sarnia Sting",34,3,4,7,0.21,1,0,0,1,0,1,1,0,12,1,0,0,1
"Carter Kostuch","YES",18,2007-04-21,2007,5.11,157,"LW","Sarnia Sting",38,3,4,7,0.18,-11,0,0,0,0,0,0,0,2,1,0,0,-1
"Thomas Stewart","NO",22,2003-01-06,2003,6.02,187,"D","Barrie Colts",38,3,4,7,0.18,10,0,0,0,0,0,1,0,56,1,0,0,-34
"Madden Steen","NO",5,2004-05-18,2004,6.02,214,"D","Owen Sound Attack",38,2,5,7,0.18,-12,0,0,0,0,0,0,0,25,1,0,0,-25.5
"Nic Whitehead","YES",10,2007-02-11,2007,5.1,154,"C","Ottawa 67's",38,2,5,7,0.18,-3,0,3,0,0,0,0,0,17,1,3,42.9,-8.5
"Wil McFadden","YES",21,2007-02-15,2007,5.08,160,"C","Guelph Storm",39,2,5,7,0.18,0,1,1,0,0,0,0,0,4,1,2,28.6,7.5
"Spencer Evans","YES",16,2006-05-12,2006,5.11,178,"D","Soo Greyhounds",21,1,6,7,0.33,8,0,0,0,0,0,0,0,15,1,0,0,4
"Conor Walton","YES",28,2006-04-22,2006,6.04,208,"D","Windsor Spitfires",35,1,6,7,0.2,-9,0,0,0,2,2,1,0,16,1,0,0,-14
"Wyatt Kennedy","NO",2,2005-05-27,2005,6.04,198,"D","North Bay Battalion",39,1,6,7,0.18,-14,0,0,0,0,0,1,0,16,1,0,0,-19
"Ryan McGuire","NO",12,2004-02-29,2004,5.11,186,"C","Guelph Storm",39,1,6,7,0.18,-4,0,2,0,0,0,0,0,75,1,2,28.6,-68
"Brayden Hislop","NO",6,2003-09-26,2003,6.01,181,"D","Guelph Storm",41,1,6,7,0.17,-8,0,4,0,0,0,1,0,36,1,4,57.1,-33
"Chandler Romeo","NO",17,2003-07-16,2003,6.06,205,"D","Guelph Storm",41,1,6,7,0.17,15,0,0,0,1,1,0,0,37,1,0,0,-11
"Maleek McGowan","NO",11,2005-06-13,2005,5.11,164,"D","Kingston Frontenacs",35,0,7,7,0.2,0,0,2,0,0,0,0,0,26,1,2,28.6,-15.5
"Stevie Leskovar","NO",4,2004-09-09,2004,6.03,207,"D","Mississauga Steelheads",38,0,7,7,0.18,8,0,0,0,0,0,0,0,80,1,0,0,-61.5
"Cal Uens","NO",44,2005-02-11,2005,5.09,159,"D","Kingston Frontenacs",38,0,7,7,0.18,-14,0,2,0,1,1,0,0,45,1,2,28.6,-48.5
"William Eggleton","YES",18,2006-02-19,2006,5.11,174,"LW","Mississauga Steelheads",37,4,2,6,0.16,0,0,0,0,0,0,0,1,24,1,0,0,-13
"Charlie Hilton","YES",21,2006-09-15,2006,6.05,196,"LW","Ottawa 67's",29,3,3,6,0.21,-2,0,0,0,0,0,0,0,29,1,0,0,-20.5
"Jack Brauti","YES",6,2006-05-24,2006,6,165,"D","Barrie Colts",33,3,3,6,0.18,-7,1,0,0,0,0,0,0,46,1,1,16.7,-42.5
"Tyler Hopkins","YES",91,2007-01-23,2007,6.01,160,"C","Kingston Frontenacs",33,3,3,6,0.18,-16,0,0,0,1,1,0,0,13,1,0,0,-18.5
"Hunter McKenzie","NO",14,2006-12-07,2006,6,190,"LW","Guelph Storm",36,3,3,6,0.17,-2,0,0,0,0,0,0,0,13,1,0,0,-4.5
"Masen Wray","NO",71,2006-05-15,2006,6.03,177,"C","Niagara IceDogs",36,3,3,6,0.17,-5,0,0,0,1,1,2,0,10,1,0,0,-4.5
"Tuomas Uronen","NO",13,2005-03-19,2005,6,194,"RW","Ottawa 67's",11,2,4,6,0.55,4,0,1,0,0,0,0,0,0,1,1,16.7,14
"Olivier Savard","NO",34,2005-01-14,2005,6.02,196,"RD","Kitchener Rangers",34,2,4,6,0.18,3,0,0,0,1,1,0,1,21,1,0,0,-8
"Cam Gauvreau","NO",3,2003-03-08,2003,6.02,190,"D","Peterborough Petes",33,1,5,6,0.18,-15,1,0,0,0,0,0,0,31,1,1,16.7,-36.5
"Josh Brady","YES",3,2006-01-11,2006,6,191,"D","Ottawa 67's",34,1,5,6,0.18,1,0,0,0,0,0,0,0,14,1,0,0,-3.5
"Reed Gee","NO",8,2006-03-12,2006,6,178,"D","Mississauga Steelheads",26,0,6,6,0.23,1,0,0,0,0,0,0,0,35,1,0,0,-25
"Luke Dragusica","YES",23,2007-02-16,2007,6.01,165,"D","Mississauga Steelheads",31,0,6,6,0.19,12,0,0,0,0,0,0,0,32,1,0,0,-11
"Jack Nesbitt","YES",71,2007-01-12,2007,6.04,183,"C","Windsor Spitfires",30,4,1,5,0.17,-17,1,0,0,0,0,0,0,35,1,1,20,-42.5
"Vann Williamson","NO",27,2006-07-19,2006,6.02,162,"D","Kingston Frontenacs",23,3,2,5,0.22,-1,0,0,0,0,0,0,0,13,1,0,0,-5
"Carson Hall","YES",10,2006-04-29,2006,6.02,183,"LW","Sarnia Sting",26,3,2,5,0.19,-6,0,1,0,0,0,0,0,11,1,1,20,-8
"Zackary Sandhu","NO",72,2005-12-20,2005,6.01,195,"D","Oshawa Generals",31,3,2,5,0.16,5,0,0,0,0,0,1,0,29,1,0,0,-15
"Markas Samenas","NO",42,2004-02-02,2004,6.05,215,"LW","Flint Firebirds",37,3,2,5,0.14,-9,0,1,0,0,0,0,0,21,1,1,20,-21
"Pasquale Zito","NO",73,2003-06-01,2003,5.11,184,"C","Windsor Spitfires",1,2,3,5,5,0,1,1,0,0,0,0,0,0,1,2,40,8.5
"Adam Cavallin","NO",37,2005-03-04,2005,5.11,182,"C","Kingston Frontenacs",28,2,3,5,0.18,0,0,0,0,0,0,0,0,11,1,0,0,-2.5
"Kieran Witkowski","YES",26,2007-02-07,2007,5.1,165,"LW","Mississauga Steelheads",32,2,3,5,0.16,-3,0,0,0,0,0,0,0,4,1,0,0,1.5
"Henry Brzustewicz","YES",2,2007-02-09,2007,6.01,194,"D","London Knights",35,2,3,5,0.14,6,0,0,0,0,0,1,0,12,1,0,0,2.5
"Kimi Körbler","YES",24,2006-09-25,2006,5.1,157,"RW","Ottawa 67's",35,1,4,5,0.14,-3,0,0,1,0,1,0,0,6,1,0,0,-1
"Jimmy Lombardi","YES",10,2007-02-16,2007,5.11,149,"C","Flint Firebirds",38,1,4,5,0.13,-18,0,1,0,0,0,0,0,8,1,1,20,-18
"Braedyn Rogers","NO",2,2006-11-22,2006,6,169,"D","Owen Sound Attack",40,1,4,5,0.13,-12,0,1,0,0,0,0,0,10,1,1,20,-14
"Callum Cheynowski","NO",7,2006-08-04,2006,6.01,191,"D","Niagara IceDogs",26,0,5,5,0.19,-2,0,0,0,0,0,0,0,4,1,0,0,1.5
"Jared Woolley","NO",51,2006-02-27,2006,6.04,214,"D","London Knights",18,3,1,4,0.22,4,0,1,0,0,0,0,0,8,1,1,25,3.5
"Josef Eichler","NO",5,2005-12-14,2005,6,192,"D","Windsor Spitfires",37,3,1,4,0.11,-14,0,0,0,0,0,0,0,65,1,0,0,-71.5
"Nico Addy","YES",22,2007-08-17,2007,6.04,213,"RW","Peterborough Petes",31,2,2,4,0.13,-11,0,0,0,0,0,0,0,18,1,0,0,-22
