"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","SHG","SHA","SHPTS","GWG","ENG","PIM","Active","PPP","PPP_Percentage","RNK"
"Filip Mešár","NO",48,2004-01-03,2004,5.1,168,"RW","Kitchener Rangers",22,15,20,35,1.59,14,6,9,0,0,0,2,1,6,1,15,42.9,68
"Nolan Dann","NO",9,2003-05-21,2003,5.09,182,"RW","Flint Firebirds",38,15,20,35,0.92,-9,2,2,0,0,0,1,0,10,1,4,11.4,41
"Angus MacDonell","NO",17,2005-05-11,2005,5.1,181,"C","Mississauga Steelheads",36,14,21,35,0.97,19,3,7,0,0,0,3,1,62,1,10,28.6,16.5
"Jacob Maillet","NO",27,2003-03-13,2003,6.01,193,"C","Ottawa 67's",40,13,22,35,0.88,-11,2,6,0,2,2,0,2,16,1,8,22.9,32
"Calum Ritchie","NO",21,2005-01-21,2005,6.02,180,"C","Oshawa Generals",22,11,24,35,1.59,21,3,5,1,0,1,0,2,10,1,8,22.9,69
"Jacob LeBlanc","NO",18,2004-06-03,2004,6.01,180,"D","North Bay Battalion",40,7,28,35,0.88,-7,2,8,0,0,0,3,0,35,1,10,28.6,14
"Evan Konyen","NO",91,2004-02-22,2004,5.11,170,"RW","Sudbury Wolves",38,17,17,34,0.89,14,2,1,0,0,0,2,2,24,1,3,8.8,49.5
"Ty Nelson","NO",24,2004-03-30,2004,5.1,206,"D","North Bay Battalion",32,13,21,34,1.06,8,7,11,0,1,1,2,1,35,1,18,52.9,30.5
"Jax Dubois","NO",63,2003-06-18,2003,6.04,205,"C","Kingston Frontenacs",38,13,21,34,0.89,2,5,6,1,1,2,1,0,31,1,11,32.4,28.5
"Samuel Mayer","NO",19,2003-04-15,2003,6.03,202,"D","Ottawa 67's",40,13,21,34,0.85,-15,4,11,0,0,0,2,0,76,1,15,44.1,-33.5
"Jonathan Melee","NO",23,2004-01-15,2004,6,182,"LW","Peterborough Petes",37,12,22,34,0.92,11,3,4,0,0,0,3,0,24,1,7,20.6,44
"Henry Mews","NO",11,2006-03-09,2006,6.01,183,"D","Ottawa 67's",36,6,28,34,0.94,-3,0,11,0,0,0,0,0,34,1,11,32.4,17
"Connor Punnett","NO",14,2003-06-16,2003,6.02,202,"D","Oshawa Generals",37,5,29,34,0.92,-2,1,17,0,0,0,0,2,79,1,18,52.9,-27.5
"Nick DeAngelis","NO",95,2004-05-22,2004,6.02,195,"LD","Sudbury Wolves",38,2,32,34,0.89,14,2,14,0,0,0,1,0,23,1,16,47.1,43
"Kasper Halttunen","NO",12,2005-06-07,2005,6.03,215,"RW","London Knights",30,21,12,33,1.1,6,13,6,0,0,0,2,0,37,1,19,57.6,29
"Kevin He","NO",11,2006-04-30,2006,6,182,"LW","Niagara IceDogs",39,20,13,33,0.85,-11,2,4,0,1,1,1,1,39,1,6,18.2,9.5
"Stuart Rolofs","NO",89,2003-03-28,2003,6.03,201,"LW","Oshawa Generals",39,17,16,33,0.85,10,2,4,0,0,0,1,1,15,1,6,18.2,53
"Jake O'Brien","YES",44,2007-06-16,2007,6.01,165,"C","Brantford Bulldogs",32,5,28,33,1.03,8,1,7,0,0,0,1,0,4,1,8,24.2,56
"Max Namestnikov","NO",26,2004-02-06,2004,5.08,182,"LW","Guelph Storm",41,20,12,32,0.78,-12,8,6,0,0,0,1,0,22,1,14,43.8,24
"Cole Beaudoin","NO",29,2006-04-24,2006,6.02,206,"C","Barrie Colts",37,17,15,32,0.86,-3,7,2,3,0,3,3,1,19,1,9,28.1,34.5
"Kieron Walton","NO",22,2006-04-22,2006,6.06,210,"LW","Sudbury Wolves",37,15,17,32,0.86,6,4,2,0,1,1,1,0,10,1,6,18.8,51.5
"Matthew Soto","NO",92,2005-08-31,2005,5.1,179,"RW","Kingston Frontenacs",39,15,17,32,0.82,-12,6,6,0,0,0,1,0,6,1,12,37.5,37.5
"Ondrej Molnar","NO",96,2005-02-08,2005,5.1,175,"LW","Erie Otters",36,12,20,32,0.89,-11,5,5,0,0,0,2,1,14,1,10,31.2,29
"Luca Marrelli","NO",19,2005-10-04,2005,6.02,183,"D","Oshawa Generals",39,2,30,32,0.82,10,1,11,0,0,0,0,0,14,1,12,37.5,45
